,company_name,manager_name,female,manager_edu_num,experience_days,aum_manager,num_fund_manager_curr,num_fund_manager_hist,company_name_short,company_rank_aum,aum_non_mmf,aum,num_funds,num_managers,avg_aum_manager,avg_num_manager,company_duration,weighted_average_benchmark_rate,weighted_average_excess_return,weighted_average_fee_total,male_score,female_score,photo_urls,earliest,latest,experience_before
62,东方基金管理股份有限公司,周思越,0,1,1586,790866069.54,3,3,东方基金,54,105226998178.5,118822153803.68,65,24,4950923075.1533,2.7083,7508,10.159462371975213,-17.386867012545174,4.1,64.799,68.776,https://human.amac.org.cn/gs/photo/150969496240515096949624050.jpg,2017-11-30,2020-08-28,1002
63,东方基金管理股份有限公司,张博,0,2,2289,562938355.95,4,7,东方基金,54,105226998178.5,118822153803.68,65,24,4950923075.1533,2.7083,7508,7.909736996620792,-7.539084272566191,2.730509609880674,50.919,51.262,https://human.amac.org.cn/gs/photo/152083344170515208334417050.jpg,2018-03-18,2022-02-17,1432
64,东方基金管理股份有限公司,房建威,0,1,2341,441066729.73,4,10,东方基金,54,105226998178.5,118822153803.68,65,24,4950923075.1533,2.7083,7508,9.8450518892901,-2.230382913389969,3.6004285807978205,71.254,74.857,https://human.amac.org.cn/gs/photo/2204061659225492.png,2015-07-26,2022-04-07,2447
65,东方基金管理股份有限公司,曲华锋,0,1,1706,321678186.64,4,5,东方基金,54,105226998178.5,118822153803.68,65,24,4950923075.1533,2.7083,7508,9.652431620881753,-9.472355568942744,3.4538809174139766,67.651,68.03,https://human.amac.org.cn/gs/photo/14309829897271075.jpg,2012-12-13,2020-04-30,2695
66,东方基金管理股份有限公司,李瑞,0,1,2294,9661179335.0101,3,8,东方基金,54,105226998178.5,118822153803.68,65,24,4950923075.1533,2.7083,7508,10.056941658378157,-12.087060048660492,4.091942683380494,68.486,69.744,https://human.amac.org.cn/gs/photo/14309830444232164.jpg,2011-08-26,2017-12-18,2306
67,东方基金管理股份有限公司,杨贵宾,0,2,4577,939427207.39,4,10,东方基金,54,105226998178.5,118822153803.68,65,24,4950923075.1533,2.7083,7508,9.424553605536143,-10.131066388575729,2.9626117988690113,56.832,57.727,https://human.amac.org.cn/gs/photo/156273761815315627376181530.jpg,2019-07-16,2019-11-14,121
68,东方基金管理股份有限公司,王然,1,1,2301,378837649.12,4,14,东方基金,54,105226998178.5,118822153803.68,65,24,4950923075.1533,2.7083,7508,9.590841048416527,-19.942795803789586,3.6763477138404426,57.135,53.352,https://human.amac.org.cn/gs/photo/143098350011911065.jpg,2008-09-16,2010-06-03,625
69,东方基金管理股份有限公司,王芳玲,1,1,1092,156501143.02,2,2,东方基金,54,105226998178.5,118822153803.68,65,24,4950923075.1533,2.7083,7508,9.895671237087251,-16.22917123708725,3.5000000000000004,62.682,64.531,https://human.amac.org.cn/gs/photo/151721923510715172192351070.jpg,2018-02-07,2019-01-30,357
70,东方基金管理股份有限公司,盛泽,0,1,2301,1365884463.3201,6,11,东方基金,54,105226998178.5,118822153803.68,65,24,4950923075.1533,2.7083,7508,9.929166832778892,6.012938760799089,3.00681390013506,75.137,78.257,https://human.amac.org.cn/gs/photo/153232295700115323229570010.jpg,2015-07-15,2018-09-06,1149
71,东方基金管理股份有限公司,许文波,0,1,2331,1531220972.42,6,24,东方基金,54,105226998178.5,118822153803.68,65,24,4950923075.1533,2.7083,7508,9.286302486024448,-2.5267744885952745,3.7888940507952977,49.578,52.219,https://human.amac.org.cn/gs/photo/143745520517814374552051780.jpg,2015-07-19,2018-08-14,1122
