,manager_name,company_name,male_score,female_score,photo_urls
317,于珅,朱雀基金管理有限公司,83.799,85.459,https://human.amac.org.cn/gs/photo/2107021759317368.JPG
318,曹璐迪,富国基金管理有限公司,52.004,56.901,https://human.amac.org.cn/gs/photo/147364265599214736426559920.jpg
319,章野,国联安基金管理有限公司,74.367,72.996,https://human.amac.org.cn/gs/photo/153060546243915306054624390.jpg
320,李恒,金鹰基金管理有限公司,66.2,68.42,https://human.amac.org.cn/gs/photo/148877926018814887792601880.JPG
321,朱晨杰,富国基金管理有限公司,68.939,72.558,https://human.amac.org.cn/gs/photo/148843986568014884398656800.jpg
322,李祥源,中航基金管理有限公司,78.603,78.512,https://human.amac.org.cn/gs/photo/143831191640414383119164040.jpg
323,欧阳倩蓉,招商基金管理有限公司,52.711,54.289,https://human.amac.org.cn/gs/photo/150346560149415034656014940.jpg
324,文雪婷,摩根基金管理（中国）有限公司,65.679,68.173,https://human.amac.org.cn/gs/photo/2012092348559047.jpg
325,刘文魁,易方达基金管理有限公司,79.648,81.391,https://human.amac.org.cn/gs/photo/2203151029245217.JPG
326,李晓杰,诺安基金管理有限公司,66.962,70.091,https://human.amac.org.cn/gs/photo/2302061521249964.jpg
327,李博,摩根基金管理（中国）有限公司,68.66,75.493,https://human.amac.org.cn/gs/photo/14309833640868384.jpg
328,朱斌全,海富通基金管理有限公司,57.235,58.196,https://human.amac.org.cn/gs/photo/147928660623514792866062350.jpg
329,于洋,富国基金管理有限公司,43.029,47.842,https://human.amac.org.cn/gs/photo/2009140838568039.jpg
330,傅煜清,汇丰晋信基金管理有限公司,63.604,68.64,https://human.amac.org.cn/gs/photo/147748797903314774879790330.jpg
331,胥艺,博时基金管理有限公司,61.869,62.995,https://human.amac.org.cn/gs/photo/157415853552515741585355250.jpg
332,田希蒙,富国基金管理有限公司,62.748,63.147,https://human.amac.org.cn/gs/photo/149671570358414967157035840.jpg
333,魏婧,兴合基金管理有限公司,76.444,82.254,https://human.amac.org.cn/gs/photo/2210181310381740.jpg
334,董珊珊,中金基金管理有限公司,66.095,62.128,https://human.amac.org.cn/gs/photo/149915016420214991501642020.jpg
335,张家旺,大成基金管理有限公司,,,https://human.amac.org.cn/gs/photo/2112061647419013.jpg
336,丁凯琳,兴证全球基金管理有限公司,52.592,52.886,https://human.amac.org.cn/gs/photo/2302151548158173.jpg
337,彭海伟,华夏基金管理有限公司,66.488,67.362,https://human.amac.org.cn/gs/photo/14309833671978450.jpg
338,陈莹,景顺长城基金管理有限公司,67.2,66.506,https://human.amac.org.cn/gs/photo/147645781792514764578179250.jpg
339,孙文龙,博道基金管理有限公司,62.096,61.807,https://human.amac.org.cn/gs/photo/2203011711110238.jpg
340,卢扬,上银基金管理有限公司,66.222,69.603,https://human.amac.org.cn/gs/photo/148720641018714872064101870.jpg
341,孙澍,华安基金管理有限公司,74.574,76.074,https://human.amac.org.cn/gs/photo/2111301110234205.jpg
342,张梦珂,农银汇理基金管理有限公司,76.066,77.212,https://human.amac.org.cn/gs/photo/2404020959179262.jpg
343,田原,中银基金管理有限公司,69.925,73.348,https://human.amac.org.cn/gs/photo/143098293639755.jpg
344,韩聪,太平基金管理有限公司,78.803,81.169,https://human.amac.org.cn/gs/photo/2202111208172962.jpg
345,何文欣,南方基金管理股份有限公司,64.473,63.463,https://human.amac.org.cn/gs/photo/143435812646314343581264630.jpg
346,赵枫,睿远基金管理有限公司,54.393,62.045,https://human.amac.org.cn/gs/photo/149792635541814979263554180.jpg
347,陶灿,建信基金管理有限责任公司,60.219,64.943,https://human.amac.org.cn/gs/photo/14309832379875987.jpg
348,周楷宁,天弘基金管理有限公司,72.697,71.024,https://human.amac.org.cn/gs/photo/157693897068915769389706890.jpg
349,李丹,银华基金管理股份有限公司,70.222,74.515,https://human.amac.org.cn/gs/photo/159970856032715997085603270.jpg
350,杜广,天弘基金管理有限公司,53.888,55.976,https://human.amac.org.cn/gs/photo/157198106847015719810684700.jpg
351,龙宇飞,长城基金管理有限公司,65.361,67.924,https://human.amac.org.cn/gs/photo/145862540269414586254026940.jpg
352,陆文凯,招商基金管理有限公司,71.827,73.386,https://human.amac.org.cn/gs/photo/143098354852212029.jpg
353,张棪,长城基金管理有限公司,75.633,80.667,https://human.amac.org.cn/gs/photo/143098371415815612.jpg
354,孙明达,华夏基金管理有限公司,54.141,59.284,https://human.amac.org.cn/gs/photo/159790122921315979012292130.jpg
355,李伟,汇添富基金管理股份有限公司,70.221,67.631,https://human.amac.org.cn/gs/photo/2301031102198565.png
356,张杰,太平基金管理有限公司,60.58,65.865,https://human.amac.org.cn/gs/photo/2107020958499188.jpg
357,刘自强,华宝基金管理有限公司,71.119,74.254,https://human.amac.org.cn/gs/photo/14309830775452838.jpg
358,杨景喻,摩根基金管理（中国）有限公司,70.012,77.442,https://human.amac.org.cn/gs/photo/143590476579014359047657900.jpg
359,蔡健林,汇添富基金管理股份有限公司,56.313,62.003,https://human.amac.org.cn/gs/photo/150761528151015076152815100.jpg
360,戴钢,鹏华基金管理有限公司,59.017,55.419,https://human.amac.org.cn/gs/photo/143098363816613916.jpg
361,丁琳,平安基金管理有限公司,77.134,80.747,https://human.amac.org.cn/gs/photo/148809761645914880976164590.jpg
362,张晓宇,易方达基金管理有限公司,64.204,68.069,https://human.amac.org.cn/gs/photo/145023091341214502309134120.JPG
363,代毅,长盛基金管理有限公司,52.512,55.133,https://human.amac.org.cn/gs/photo/148955892593714895589259370.jpg
364,盛泽,东方基金管理股份有限公司,75.137,78.257,https://human.amac.org.cn/gs/photo/153232295700115323229570010.jpg
365,王贵重,嘉实基金管理有限公司,45.249,50.989,https://human.amac.org.cn/gs/photo/143643268507414364326850740.jpg
366,傅洪哲,泰康基金管理有限公司,59.044,59.712,https://human.amac.org.cn/gs/photo/150106410008915010641000890.jpg
